grid_id,dist_ranger,dist_salt,dist_vill,dist_str,ndvi_cv,slope
389,7810.25,1414.21,20000,4472.14,0.1812,59.5224
390,7071.07,1000,19000,3605.55,0.152,48.8708
391,6403.12,1414.21,18000,2828.43,0.191,52.6455
392,5830.95,2000,17000,2000,0.1968,36.0962
393,5385.17,1000,16000,1000,0.2088,61.7897
394,5099.02,0,15000,0,0.1993,3.2385
395,5000,1000,14000,0,0.2087,1.8276
396,5099.02,0,13000,1000,0.227,1.7605
397,5385.17,0,12000,1414.21,0.208,1.4663
398,5830.95,1000,11000,2236.07,0.2017,5.5269
399,6403.12,2000,10000,3162.28,0.2727,49.0005
400,7071.07,2236.07,9000,4123.11,0.2359,51.7254
401,7071.07,1414.21,8000,5099.02,0.1897,81.7526
402,6082.76,1000,7000,6082.76,0.2462,48.4145
403,5099.02,1414.21,6000,6324.56,0.2537,47.712
404,4123.11,2236.07,5000,6082.76,0.1673,43.3728
405,3162.28,3162.28,4000,6000,0.1389,73.2062
406,2236.07,4123.11,3000,6082.76,0.1092,69.089
407,11180.3,3605.55,31016.1,7000,0.1525,35.546
408,10770.3,2828.43,30016.7,7000,0.0789,70.8557
409,10440.3,2236.07,29017.2,7071.07,0.1408,46.1912
410,10198,2000,28017.9,7280.11,0.1274,27.2785
411,10049.9,2236.07,27018.5,7615.77,0.1682,47.6873
412,10000,2828.43,26019.2,8062.26,0.1456,26.5094
413,10049.9,3162.28,25020,8602.33,0.1723,28.2006
414,10198,2236.07,24020.8,8062.26,0.1918,44.7483
415,9848.86,1414.21,23021.7,7071.07,0.1722,23.2149
416,8944.27,1000,22022.7,6082.76,0.236,31.4334
417,8062.26,1414.21,21023.8,5099.02,0.1753,54.7014
418,7211.1,2236.07,20025,4123.11,0.1602,45.5616
419,6403.12,2000,19026.3,3162.28,0.1439,43.4755
420,5656.85,2236.07,18027.8,2236.07,0.2465,21.7591
421,5000,2236.07,17029.4,1414.21,0.2447,33.0036
422,4472.14,1414.21,16031.2,1000,0.2338,17.6534
423,4123.11,1000,15033.3,0,0.2139,3.8982
424,4000,1000,14035.7,0,0.1904,1.4925
425,4123.11,0,13038.4,1000,0.257,1.537
426,4472.14,1000,12041.6,2000,0.1834,3.4171
427,5000,1414.21,11045.4,2828.43,0.1914,7.2696
428,5656.85,2236.07,10049.9,3605.55,0.1976,45.5368
429,6403.12,2000,9055.38,4472.14,0.2787,110.04
430,7211.1,1000,8062.26,5385.17,0.2086,34.026
431,6324.56,0,7071.07,5830.95,0.2309,40.5549
432,5385.17,1000,6082.76,5385.17,0.2656,51.6134
433,4472.14,2000,5099.02,5099.02,0.1728,34.6794
434,3605.55,3000,4123.11,5000,0.1316,91.4529
435,2828.43,4000,3162.28,5099.02,0.1043,78.7249
436,11704.7,3605.55,30066.6,8000,0.0493,43.8749
437,11401.8,3162.28,29068.9,8062.26,0.1201,46.6039
438,11180.3,3000,28071.3,8246.21,0.1281,50.1274
439,11045.4,3162.28,27074,8544,0.1329,53.4227
440,11000,3605.55,26076.8,8944.27,0.1467,17.5907
441,11045.4,3605.55,25079.9,9000,0.197,47.8867
442,10440.3,2828.43,24083.2,8000,0.1757,20.0651
443,9486.83,2236.07,23086.8,7000,0.1572,14.7567
444,8544,2000,22090.7,6000,0.2663,15.6832
445,7615.77,2236.07,21095,5000,0.2713,63.6343
446,6708.2,2828.43,20099.8,4000,0.1719,39.9932
447,5830.95,3000,19105,3000,0.1433,48.5923
448,5000,3162.28,18110.8,2000,0.2944,20.7934
449,4242.64,2828.43,17117.2,1000,0.2842,24.4723
450,3605.55,2236.07,16124.5,0,0.2013,22.3112
451,3162.28,2000,15132.7,0,0.2286,6.8073
452,3000,1414.21,14142.1,1000,0.1649,2.5612
453,3162.28,1000,13152.9,1414.21,0.2279,1.41
454,3605.55,1414.21,12165.5,2236.07,0.1904,2.0213
455,4242.64,2236.07,11180.3,3162.28,0.1823,10.8316
456,5000,2828.43,10198,4123.11,0.2162,57.1971
